p_graph, p_malicious, p_txDistribution, numRounds, agree,compliant nodes, %agree
0.1, 0.1, 0.01, 10, 5, 85, 5
0.1, 0.1, 0.01, 20, 1, 93, 1
0.1, 0.1, 0.05, 10, 3, 90, 3
0.1, 0.1, 0.05, 20, 1, 97, 1
0.1, 0.1, 0.1, 10, 2, 92, 2
0.1, 0.1, 0.1, 20, 2, 92, 2
0.1, 0.3, 0.01, 10, 18, 62, 29
0.1, 0.3, 0.01, 20, 6, 76, 7
0.1, 0.3, 0.05, 10, 15, 59, 25
0.1, 0.3, 0.05, 20, 10, 71, 14
0.1, 0.3, 0.1, 10, 9, 72, 12
0.1, 0.3, 0.1, 20, 9, 70, 12
0.1, 0.45, 0.01, 10, 21, 58, 36
0.1, 0.45, 0.01, 20, 24, 51, 47
0.1, 0.45, 0.05, 10, 19, 57, 33
0.1, 0.45, 0.05, 20, 18, 61, 29
0.1, 0.45, 0.1, 10, 33, 45, 73
0.1, 0.45, 0.1, 20, 13, 59, 22
0.2, 0.1, 0.01, 10, 1, 92, 1
0.2, 0.1, 0.01, 20, 2, 92, 2
0.2, 0.1, 0.05, 10, 2, 90, 2
0.2, 0.1, 0.05, 20, 6, 84, 7
0.2, 0.1, 0.1, 10, 4, 83, 4
0.2, 0.1, 0.1, 20, 2, 88, 2
0.2, 0.3, 0.01, 10, 17, 60, 28
0.2, 0.3, 0.01, 20, 15, 66, 22
0.2, 0.3, 0.05, 10, 11, 75, 14
0.2, 0.3, 0.05, 20, 16, 63, 25
0.2, 0.3, 0.1, 10, 12, 67, 17
0.2, 0.3, 0.1, 20, 11, 64, 17
0.2, 0.45, 0.01, 10, 21, 57, 36
0.2, 0.45, 0.01, 20, 29, 48, 60
0.2, 0.45, 0.05, 10, 20, 58, 34
0.2, 0.45, 0.05, 20, 18, 57, 31
0.2, 0.45, 0.1, 10, 20, 55, 36
0.2, 0.45, 0.1, 20, 21, 50, 42
0.3, 0.1, 0.01, 10, 2, 96, 2
0.3, 0.1, 0.01, 20, 2, 91, 2
0.3, 0.1, 0.05, 10, 3, 88, 3
0.3, 0.1, 0.05, 20, 1, 91, 1
0.3, 0.1, 0.1, 10, 2, 92, 2
0.3, 0.1, 0.1, 20, 3, 90, 3
0.3, 0.3, 0.01, 10, 3, 75, 4
0.3, 0.3, 0.01, 20, 6, 76, 7
0.3, 0.3, 0.05, 10, 6, 73, 8
0.3, 0.3, 0.05, 20, 6, 70, 8
0.3, 0.3, 0.1, 10, 10, 68, 14
0.3, 0.3, 0.1, 20, 11, 73, 15
0.3, 0.45, 0.01, 10, 17, 58, 29
0.3, 0.45, 0.01, 20, 31, 42, 73
0.3, 0.45, 0.05, 10, 20, 58, 34
0.3, 0.45, 0.05, 20, 20, 54, 37
0.3, 0.45, 0.1, 10, 20, 55, 36
0.3, 0.45, 0.1, 20, 18, 57, 31
p_graph, p_malicious, p_txDistribution, numRounds, agree,compliant nodes, %agree
0.1, 0.1, 0.01, 10, 1, 92, 1
0.1, 0.1, 0.01, 20, 1, 91, 1
0.1, 0.1, 0.05, 10, 2, 91, 2
0.1, 0.1, 0.05, 20, 3, 90, 3
0.1, 0.1, 0.1, 10, 1, 90, 1
0.1, 0.1, 0.1, 20, 2, 91, 2
0.1, 0.3, 0.01, 10, 10, 70, 14
0.1, 0.3, 0.01, 20, 11, 68, 16
0.1, 0.3, 0.05, 10, 6, 77, 7
0.1, 0.3, 0.05, 20, 7, 73, 9
0.1, 0.3, 0.1, 10, 5, 78, 6
0.1, 0.3, 0.1, 20, 8, 72, 11
0.1, 0.45, 0.01, 10, 26, 50, 52
0.1, 0.45, 0.01, 20, 26, 53, 49
0.1, 0.45, 0.05, 10, 15, 62, 24
0.1, 0.45, 0.05, 20, 18, 56, 32
0.1, 0.45, 0.1, 10, 20, 51, 39
0.1, 0.45, 0.1, 20, 10, 67, 14
0.2, 0.1, 0.01, 10, 1, 88, 1
0.2, 0.1, 0.01, 20, 1, 90, 1
0.2, 0.1, 0.05, 10, 1, 94, 1
0.2, 0.1, 0.05, 20, 1, 95, 1
0.2, 0.1, 0.1, 10, 3, 91, 3
